2,0.1,-20,0,0.2
2,0.1,-20,10000,100.2
2,0.1,-20,20000,200.2
2,0.1,-20,30000,300.2
2,0.1,-20,40000,400.2
2,0.1,-20,50000,500.2
2,0.1,-20,60000,600.2
2,0.1,-20,70000,700.2
2,0.1,-20,80000,800.2
2,0.1,-15,0,0.7
2,0.1,-15,10000,100.7
2,0.1,-15,20000,200.7
2,0.1,-15,30000,300.7
2,0.1,-15,40000,400.7
2,0.1,-15,50000,500.7
2,0.1,-15,60000,600.7
2,0.1,-15,70000,700.7
2,0.1,-15,80000,800.7
2,0.1,-10,0,1.2
2,0.1,-10,10000,101.2
2,0.1,-10,20000,201.2
2,0.1,-10,30000,301.2
2,0.1,-10,40000,401.2
2,0.1,-10,50000,501.2
2,0.1,-10,60000,601.2
2,0.1,-10,70000,701.2
2,0.1,-10,80000,801.2
2,0.1,-5,0,1.7
2,0.1,-5,10000,101.7
2,0.1,-5,20000,201.7
2,0.1,-5,30000,301.7
2,0.1,-5,40000,401.7
2,0.1,-5,50000,501.7
2,0.1,-5,60000,601.7
2,0.1,-5,70000,701.7
2,0.1,-5,80000,801.7
2,0.1,0,0,2.2
2,0.1,0,10000,102.2
2,0.1,0,20000,202.2
2,0.1,0,30000,302.2
2,0.1,0,40000,402.2
2,0.1,0,50000,502.2
2,0.1,0,60000,602.2
2,0.1,0,70000,702.2
2,0.1,0,80000,802.2
2,0.1,5,0,2.7
2,0.1,5,10000,102.7
2,0.1,5,20000,202.7
2,0.1,5,30000,302.7
2,0.1,5,40000,402.7
2,0.1,5,50000,502.7
2,0.1,5,60000,602.7
2,0.1,5,70000,702.7
2,0.1,5,80000,802.7
2,0.1,10,0,3.2
2,0.1,10,10000,103.2
2,0.1,10,20000,203.2
2,0.1,10,30000,303.2
2,0.1,10,40000,403.2
2,0.1,10,50000,503.2
2,0.1,10,60000,603.2
2,0.1,10,70000,703.2
2,0.1,10,80000,803.2
2,0.1,15,0,3.7
2,0.1,15,10000,103.7
2,0.1,15,20000,203.7
2,0.1,15,30000,303.7
2,0.1,15,40000,403.7
2,0.1,15,50000,503.7
2,0.1,15,60000,603.7
2,0.1,15,70000,703.7
2,0.1,15,80000,803.7
2,0.1,20,0,4.2
2,0.1,20,10000,104.2
2,0.1,20,20000,204.2
2,0.1,20,30000,304.2
2,0.1,20,40000,404.2
2,0.1,20,50000,504.2
2,0.1,20,60000,604.2
2,0.1,20,70000,704.2
2,0.1,20,80000,804.2
2,0.2,-20,0,0.4
2,0.2,-20,10000,100.4
2,0.2,-20,20000,200.4
2,0.2,-20,30000,300.4
